date,T10.2,T10.3,T10.6,T10.7,T26.6,T26.7,T26.8,T26.9,T29.2,T29.1
06/08/15,75,75,75,75,0,0,0,0,0,0
06/09/15,75,75,75,75,0,0,0,0,0,0
06/10/15,75,75,75,75,0,0,0,0,0,0
06/11/15,75,75,75,75,0,0,0,0,0,0
06/12/15,75,75,75,75,0,0,0,0,0,0
06/13/15,75,75,75,75,0,0,0,0,0,0
06/14/15,75,75,75,75,0,0,0,0,0,0
06/15/15,75,75,75,75,0,0,0,0,0,0
06/16/15,75,75,75,75,0,0,0,0,0,0
06/17/15,75,75,75,75,0,0,0,0,0,0
06/18/15,75,75,75,75,0,0,0,0,0,0
06/19/15,75,75,75,75,0,0,0,0,0,0
06/20/15,75,75,75,75,0,0,0,0,0,0
06/21/15,75,75,75,75,0,0,0,0,0,0
06/22/15,75,75,75,75,0,0,0,0,0,0
06/23/15,75,75,75,75,0,0,0,0,0,0
06/24/15,75,75,75,75,0,0,0,0,0,0
06/25/15,75,75,75,75,0,0,0,0,0,0
06/26/15,75,75,75,75,0,0,0,0,0,0
06/27/15,75,75,75,75,0,0,0,0,0,0
06/28/15,75,75,75,75,0,0,0,0,0,0
06/29/15,75,75,75,75,0,0,0,0,0,0
06/30/15,75,75,75,75,0,0,0,0,0,0
07/01/15,0,75,0,90,0,90,0,90,0,0
07/02/15,0,75,0,90,0,90,0,90,0,0
07/03/15,0,75,0,90,0,90,0,90,0,0
07/04/15,0,75,0,90,0,90,0,90,0,0
07/05/15,0,75,0,90,0,90,0,90,0,0
07/06/15,0,75,0,90,0,90,0,90,0,0
07/07/15,0,75,0,90,0,90,0,90,0,0
07/08/15,0,75,0,90,0,0,0,90,0,0
07/09/15,0,75,0,90,0,0,0,90,0,0
07/10/15,0,75,0,90,0,0,0,90,0,0
07/11/15,0,75,0,90,0,0,0,90,0,0
07/12/15,0,75,0,90,0,0,0,90,0,0
07/13/15,0,75,0,90,0,0,0,45,0,0
07/14/15,0,75,0,90,0,0,0,45,0,0
07/15/15,0,75,0,90,0,0,0,0,0,0
07/16/15,0,75,0,90,0,0,0,0,0,0
07/17/15,0,75,0,90,0,0,0,0,0,0
07/18/15,0,75,0,90,0,0,0,0,0,0
07/19/15,0,75,0,90,0,0,0,0,0,0
07/20/15,0,75,0,90,0,0,0,0,0,0
07/21/15,0,75,0,90,0,0,0,0,0,0
07/22/15,0,75,0,90,0,0,0,0,0,0
07/23/15,0,75,0,90,0,0,0,0,0,0
07/24/15,0,75,0,90,0,0,0,0,0,0
07/25/15,0,75,0,90,0,0,0,0,0,0
07/26/15,0,75,0,90,0,0,0,0,0,0
07/27/15,0,75,0,90,0,0,0,0,0,0
07/28/15,0,75,0,90,0,0,0,0,0,0
07/29/15,0,75,0,90,0,0,0,0,0,0
07/30/15,0,75,0,90,0,0,0,0,0,0
07/31/15,0,75,0,90,0,0,0,0,0,0
08/01/15,0,75,0,90,0,0,0,0,0,0
08/02/15,0,75,0,90,0,0,0,0,0,0
08/03/15,0,75,0,90,0,0,0,0,0,0
08/04/15,0,75,0,90,0,0,0,0,0,0
08/05/15,0,75,0,90,0,0,0,0,0,0
08/06/15,0,75,0,90,0,0,0,0,0,0
08/07/15,0,75,0,90,0,0,0,0,0,0
08/08/15,0,75,0,90,0,0,0,0,0,0
08/09/15,0,75,0,90,0,0,0,0,0,0
08/10/15,0,75,0,90,0,0,0,0,0,0
08/11/15,0,75,0,90,0,0,0,0,0,0
08/12/15,0,75,0,90,0,0,0,0,0,0
08/13/15,0,75,0,90,0,0,0,0,0,0
08/14/15,0,75,0,90,0,0,0,0,0,0
08/15/15,0,75,0,90,0,0,0,0,0,0
08/16/15,0,75,0,90,0,0,0,0,0,0
08/17/15,0,75,0,90,0,0,0,0,0,0
08/18/15,0,75,0,90,0,0,0,0,0,0
08/19/15,0,75,0,90,0,0,0,0,0,0
08/20/15,0,75,0,90,0,0,0,0,0,0
08/21/15,0,75,0,90,0,0,0,0,0,0
08/22/15,0,75,0,90,0,0,0,0,0,0
08/23/15,0,75,0,90,0,0,0,0,0,0
08/24/15,0,75,0,90,0,0,0,0,0,0
08/25/15,0,75,0,90,0,0,0,0,0,0
08/26/15,0,75,0,90,0,0,0,0,0,0
08/27/15,0,75,0,90,0,0,0,0,0,0
08/28/15,0,75,0,90,0,0,0,0,0,0
08/29/15,0,75,0,90,0,0,0,0,0,0
08/30/15,0,75,0,90,0,0,0,0,0,0
08/31/15,0,75,0,90,0,0,0,0,0,0
09/01/15,0,75,0,90,0,0,0,0,0,0
09/02/15,0,75,0,90,0,0,0,0,0,0
09/03/15,0,75,0,90,0,0,0,0,0,0
09/04/15,0,75,0,90,0,0,0,0,0,0
09/05/15,0,75,0,90,0,0,0,0,0,0
09/06/15,0,75,0,90,0,0,0,0,0,0
09/07/15,0,75,0,90,0,0,0,0,0,0
09/08/15,0,75,0,90,0,0,0,0,0,0
09/09/15,0,75,0,90,0,0,0,0,0,0
09/10/15,0,75,0,90,0,0,0,0,0,0
09/11/15,0,75,0,90,0,0,0,0,0,0
09/12/15,0,75,0,90,0,0,0,0,0,0
09/13/15,0,75,0,90,0,0,0,0,0,0
09/14/15,0,75,0,90,0,0,0,0,0,0
09/15/15,0,75,0,90,0,0,0,0,0,0
09/16/15,0,75,0,90,0,0,0,0,0,0
09/17/15,0,75,0,90,0,0,0,0,0,0
09/18/15,0,75,0,90,0,0,0,0,0,0
09/19/15,0,75,0,90,0,0,0,0,0,0
09/20/15,0,75,0,90,0,0,0,0,0,0
09/21/15,0,75,0,90,0,0,0,0,0,0
09/22/15,0,75,0,90,0,0,0,0,0,0
09/23/15,0,75,0,90,0,0,0,0,0,0
09/24/15,0,75,0,90,0,0,0,0,0,0
09/25/15,0,75,0,90,0,0,0,0,0,0
09/26/15,0,75,0,90,0,0,0,0,0,0
09/27/15,0,75,0,90,0,0,0,0,0,0
09/28/15,0,75,0,90,0,0,0,0,0,0
09/29/15,0,75,0,90,0,0,0,0,0,0
09/30/15,0,75,0,90,0,0,0,0,0,0
10/01/15,0,75,0,90,0,0,0,0,0,0
10/02/15,0,75,0,90,0,0,0,0,0,0
10/03/15,0,75,0,90,0,0,0,0,0,0
10/04/15,0,75,0,90,0,0,0,0,0,0
10/05/15,0,75,0,90,0,0,0,0,0,0
10/06/15,0,75,0,90,0,0,0,0,0,0
10/07/15,0,75,0,90,0,0,0,0,0,0
10/08/15,0,75,0,90,0,0,0,0,0,0
10/09/15,0,75,0,90,0,0,0,0,0,0
10/10/15,0,75,0,90,0,0,0,0,0,0
10/11/15,0,75,0,90,0,0,0,0,0,0
10/12/15,0,75,0,90,0,0,0,0,0,0
10/13/15,0,75,0,90,135,135,135,135,90,0
10/14/15,0,75,0,90,135,135,135,135,90,0
10/15/15,0,75,0,90,135,135,135,135,90,0
10/16/15,0,75,0,90,135,135,135,135,90,0
10/17/15,0,75,0,90,135,135,135,135,90,0
10/18/15,0,75,0,90,135,135,135,135,90,0
10/19/15,0,75,0,90,135,135,135,135,90,0
10/20/15,0,75,0,90,135,135,135,135,90,0
10/21/15,0,75,0,90,135,135,135,135,90,0
10/22/15,0,75,0,90,135,135,135,135,90,0
10/23/15,0,75,0,90,135,135,135,135,90,0
10/24/15,0,75,0,90,135,135,135,135,90,0
10/25/15,0,75,0,90,135,135,135,135,90,0
10/26/15,0,75,0,90,135,135,135,135,90,0
10/27/15,0,75,0,90,135,135,135,135,90,0
10/28/15,0,75,0,90,135,135,135,135,90,0
10/29/15,0,75,0,90,135,135,135,135,90,0
10/30/15,0,75,0,90,135,135,135,135,90,0
10/31/15,0,75,0,90,135,135,135,135,90,0
11/01/15,0,75,0,90,135,135,135,135,90,0
11/02/15,0,75,0,90,135,135,135,135,90,0
11/03/15,0,75,0,90,135,135,135,135,90,0
11/04/15,0,75,0,90,135,135,135,135,90,0
11/05/15,0,75,0,90,135,135,135,135,90,0
11/06/15,0,75,0,90,135,135,135,135,90,0
11/07/15,0,75,0,90,135,135,135,135,90,0
11/08/15,0,75,0,90,135,135,135,135,90,0
11/09/15,0,75,0,90,135,135,135,135,90,0
11/10/15,0,75,0,90,135,135,135,135,90,0
11/11/15,0,75,0,90,135,135,135,135,90,0
11/12/15,0,75,0,90,135,135,135,135,90,0
11/13/15,0,75,0,90,135,135,135,135,90,0
11/14/15,0,75,0,90,135,135,135,135,90,0
11/15/15,90,90,90,90,135,135,135,135,90,0
11/16/15,90,90,90,90,135,135,135,135,90,0
11/17/15,90,90,90,90,135,135,135,135,90,0
11/18/15,90,90,90,90,135,135,135,135,90,0
11/19/15,90,90,90,90,135,135,135,135,90,0
11/20/15,90,90,90,90,135,135,135,135,90,0
11/21/15,90,90,90,90,135,135,135,135,90,0
11/22/15,90,90,90,90,135,135,135,135,90,0
11/23/15,150,90,120,90,135,135,135,135,90,0
11/24/15,285,285,195,195,135,135,135,135,90,0
11/25/15,90,90,90,90,135,135,135,135,90,0
11/26/15,90,90,90,90,135,135,135,135,90,0
11/27/15,90,90,90,90,135,135,135,135,90,0
11/28/15,90,90,90,90,135,135,135,135,90,0
11/29/15,90,90,90,90,135,135,135,135,90,0
11/30/15,150,150,150,150,150,150,150,150,90,0
12/01/15,150,150,150,150,150,150,150,150,90,0
12/02/15,150,150,150,150,150,150,150,150,90,0
12/03/15,150,150,150,150,150,150,150,150,90,0
12/04/15,90,90,90,90,135,135,135,135,90,0
12/05/15,90,90,90,90,135,135,135,135,90,0
12/06/15,90,90,90,90,135,135,135,135,90,0
12/07/15,90,90,90,90,135,135,135,135,90,0
12/08/15,90,90,90,90,135,135,135,135,90,0
12/09/15,90,90,90,90,0,0,0,0,90,0
12/10/15,90,90,90,90,0,0,0,0,90,0
12/11/15,90,90,90,90,0,0,0,0,90,0
12/12/15,90,90,90,90,0,0,0,0,90,0
12/13/15,90,90,90,90,0,0,0,0,90,0
12/14/15,90,90,90,90,0,0,0,0,90,0
12/15/15,90,90,90,90,0,0,0,0,90,0
12/16/15,90,90,90,90,0,0,0,0,90,0
12/17/15,90,90,90,90,0,0,0,0,90,0
12/18/15,90,90,90,90,0,0,0,0,90,0
12/19/15,90,90,90,90,0,0,0,0,90,0
12/20/15,90,90,90,90,0,0,0,0,90,0
12/21/15,90,90,90,90,0,0,0,0,90,0
12/22/15,90,90,90,90,0,0,0,0,90,0
12/23/15,90,90,90,90,135,135,135,135,90,0
12/24/15,90,90,90,90,135,135,135,135,90,0
12/25/15,90,90,90,90,135,135,135,135,90,0
12/26/15,90,90,90,90,135,135,135,135,90,0
12/27/15,90,90,90,90,135,135,135,135,90,0
12/28/15,90,90,90,90,135,135,135,135,90,0
12/29/15,90,90,90,90,135,135,135,135,90,0
12/30/15,90,90,90,90,60,60,60,60,90,0
12/31/15,90,90,90,90,60,60,60,60,90,0
01/01/16,90,90,90,90,60,60,60,60,90,0
01/02/16,90,90,90,90,60,60,60,60,90,0
01/03/16,90,90,90,90,60,60,60,60,90,0
01/04/16,90,90,90,90,60,60,60,60,90,0
01/05/16,90,90,90,90,30,30,30,30,90,0
01/06/16,0,0,0,0,0,0,0,0,0,0
01/07/16,0,0,0,0,0,0,0,0,0,0
01/08/16,0,0,0,0,0,0,0,0,0,0
01/09/16,0,0,0,0,0,0,0,0,0,0
01/10/16,0,0,0,0,0,0,0,0,0,0
01/11/16,0,0,0,0,0,0,0,0,0,0
01/12/16,90,90,90,90,0,0,0,0,0,0
01/13/16,90,90,90,90,0,0,0,0,0,0
01/14/16,45,45,45,45,0,0,0,0,0,0
01/15/16,0,0,0,0,0,0,0,0,0,0
01/16/16,0,0,0,0,0,0,0,0,0,0
01/17/16,0,0,0,0,0,0,0,0,0,0
01/18/16,0,0,0,0,0,0,0,0,0,0
01/19/16,0,0,0,0,30,30,30,30,0,0
01/20/16,0,0,0,0,0,0,0,0,0,0
01/21/16,0,0,0,0,0,0,0,0,0,0
01/22/16,0,0,0,0,0,0,0,0,0,0
01/23/16,0,0,0,0,0,0,0,0,0,0
01/24/16,0,0,0,0,0,0,0,0,0,0
01/25/16,0,0,0,0,0,0,0,0,0,0
01/26/16,0,0,0,0,0,0,0,0,90,0
01/27/16,0,0,0,0,0,0,0,0,90,0
01/28/16,90,90,90,90,0,0,0,0,90,0
01/29/16,90,90,90,90,0,0,0,0,90,0
01/30/16,90,90,90,90,0,0,0,0,90,0
01/31/16,45,45,45,45,0,0,0,0,90,0
02/01/16,0,0,0,0,0,0,0,0,90,0
02/02/16,0,0,0,0,0,0,0,0,90,0
02/03/16,45,45,45,45,0,0,0,0,90,0
02/04/16,45,45,45,45,0,0,0,0,90,0
02/05/16,45,45,45,45,30,30,30,30,90,0
02/06/16,45,45,45,45,60,60,60,60,90,0
02/07/16,45,45,45,45,30,30,30,30,90,0
02/08/16,90,90,90,90,60,60,60,60,90,0
02/09/16,90,90,90,90,60,60,60,60,90,0
02/10/16,90,90,90,90,60,60,60,60,90,0
02/11/16,90,90,90,90,60,60,60,60,90,0
02/12/16,90,90,90,90,60,60,60,60,90,0
02/13/16,90,90,90,90,60,60,60,60,90,0
02/14/16,90,90,90,90,60,60,60,60,90,0
02/15/16,90,90,90,90,60,60,60,60,90,0
02/16/16,90,90,90,90,60,60,60,60,90,0
02/17/16,90,90,90,90,60,60,60,60,90,0
02/18/16,90,90,90,90,60,60,60,60,90,0
02/19/16,90,90,90,90,60,60,60,60,90,0
02/20/16,90,90,90,90,60,60,60,60,90,0
02/21/16,90,90,90,90,60,60,60,60,90,0
02/22/16,90,90,90,90,60,60,60,60,90,0
02/23/16,90,90,90,90,60,60,60,60,90,0
02/24/16,90,90,90,90,60,60,60,60,90,0
02/25/16,90,90,90,90,60,60,60,60,90,0
02/26/16,90,90,90,90,60,60,60,60,90,0
02/27/16,90,90,90,90,60,60,60,60,90,0
02/28/16,90,90,90,90,60,60,60,60,90,0
02/29/16,90,90,90,90,60,60,60,60,90,0
03/01/16,90,90,90,90,60,60,60,60,90,0
03/02/16,90,90,90,90,60,60,60,60,90,0
03/03/16,90,90,90,90,60,60,60,60,90,0
03/04/16,90,90,90,90,60,60,60,60,90,0
03/05/16,90,90,90,90,60,60,60,60,90,0
03/06/16,90,90,90,90,60,60,60,60,90,0
03/07/16,90,90,90,90,60,60,60,60,90,0
03/08/16,90,90,90,90,60,60,60,60,90,0
03/09/16,90,90,90,90,60,60,60,60,90,0
03/10/16,90,90,90,90,60,60,60,60,90,0
03/11/16,90,90,90,90,60,60,60,60,90,0
03/12/16,90,90,90,90,60,60,60,60,90,0
03/13/16,90,90,90,90,60,60,60,60,90,0
03/14/16,90,90,90,90,60,60,60,60,90,0
03/15/16,90,90,90,90,60,60,60,60,90,0
03/16/16,90,90,90,90,60,60,60,60,90,0
03/17/16,90,90,90,90,60,60,60,60,90,0
03/18/16,90,90,90,90,60,60,60,60,90,0
03/19/16,90,90,90,90,60,60,60,60,90,0
03/20/16,90,90,90,90,60,60,60,60,90,0
03/21/16,90,90,90,90,60,60,60,60,90,0
03/22/16,90,90,90,90,60,60,60,60,90,0
03/23/16,90,90,90,90,60,60,60,60,90,0
03/24/16,90,90,90,90,90,90,90,90,90,0
03/25/16,90,90,90,90,90,90,90,90,90,0
03/26/16,90,90,90,90,90,90,90,90,90,0
03/27/16,90,90,90,90,90,90,90,90,90,0
03/28/16,90,90,90,90,90,90,90,90,90,0
03/29/16,90,90,90,90,90,90,90,90,90,0
03/30/16,90,90,90,90,90,90,90,90,90,0
03/31/16,90,90,90,90,90,90,90,90,90,0
04/01/16,90,90,90,90,90,90,90,90,90,0
04/02/16,90,90,90,90,90,90,90,90,90,0
04/03/16,90,90,90,90,90,90,90,90,90,0
04/04/16,90,90,90,90,90,90,90,90,90,0
04/05/16,90,90,90,90,90,90,90,90,90,0
04/06/16,90,90,90,90,90,90,90,90,90,0
04/07/16,90,90,90,90,90,90,90,90,90,0
04/08/16,90,90,90,90,90,90,90,90,90,0
04/09/16,90,90,90,90,90,90,90,90,90,0
04/10/16,90,90,90,90,90,90,90,90,90,0
04/11/16,90,90,90,90,90,90,90,90,90,0
04/12/16,90,90,90,90,90,90,90,90,90,0
04/13/16,90,90,90,90,90,90,90,90,90,0
04/14/16,90,90,90,90,90,90,90,90,90,0
04/15/16,90,90,90,90,90,90,90,90,90,0
04/16/16,90,90,90,90,90,90,90,90,90,0
04/17/16,90,90,90,90,90,90,90,90,90,0
04/18/16,90,90,90,90,90,90,90,90,90,0
04/19/16,90,90,90,90,90,90,90,90,90,0
04/20/16,90,90,90,90,90,90,90,90,90,0
04/21/16,90,90,90,90,90,90,90,90,90,0
04/22/16,90,90,90,90,90,90,90,90,90,0
04/23/16,90,90,90,90,90,90,90,90,90,0
04/24/16,90,90,90,90,90,90,90,90,90,0
04/25/16,90,90,90,90,90,90,90,90,90,0
04/26/16,90,90,90,90,90,90,90,90,90,0
04/27/16,90,90,90,90,90,90,90,90,90,0
04/28/16,90,90,90,90,90,90,90,90,90,0
04/29/16,90,90,90,90,90,90,90,90,90,0
04/30/16,90,90,90,90,90,90,90,90,90,0
05/01/16,90,90,90,90,90,90,90,90,90,0
05/02/16,90,90,90,90,90,90,90,90,90,0
05/03/16,90,90,90,90,90,90,90,90,90,0
05/04/16,90,90,90,90,90,90,90,90,90,0
05/05/16,90,90,90,90,90,90,90,90,90,0
05/06/16,90,90,90,90,90,90,90,90,90,0
05/07/16,90,90,90,90,90,90,90,90,90,0
05/08/16,90,90,90,90,90,90,90,90,90,0
05/09/16,90,90,90,90,90,90,90,90,90,0
05/10/16,90,90,90,90,90,90,90,90,90,0
05/11/16,90,90,90,90,90,90,90,90,90,0
05/12/16,90,90,90,90,90,90,90,90,90,0
05/13/16,90,90,90,90,90,90,90,90,90,0
05/14/16,90,90,90,90,90,90,90,90,90,0
05/15/16,90,90,90,90,90,90,90,90,90,0
05/16/16,90,90,90,90,90,90,90,90,90,0
05/17/16,90,90,90,90,90,90,90,90,90,0
05/18/16,90,90,90,90,90,90,90,90,90,0
05/19/16,90,90,90,90,90,90,90,90,90,0
05/20/16,90,90,90,90,90,90,90,90,90,0
05/21/16,90,90,90,90,90,90,90,90,90,0
05/22/16,90,90,90,90,90,90,90,90,90,0
05/23/16,90,90,90,90,90,90,90,90,90,0
05/24/16,90,90,90,90,90,90,90,90,90,0
05/25/16,90,90,90,90,90,90,90,90,90,0
05/26/16,90,90,90,90,90,90,90,90,90,0
05/27/16,90,90,90,90,90,90,90,90,90,0
05/28/16,90,90,90,90,90,90,90,90,90,0
05/29/16,90,90,90,90,90,90,90,90,90,0
05/30/16,90,90,90,90,90,90,90,90,90,0
05/31/16,90,90,90,90,90,90,90,90,90,0
06/01/16,90,90,90,90,90,90,90,90,90,0
06/02/16,90,90,90,90,90,90,90,90,90,0
06/03/16,90,90,90,90,90,90,90,90,90,0
06/04/16,90,90,90,90,90,90,90,90,90,0
06/05/16,90,90,90,90,90,90,90,90,90,0
06/06/16,90,90,90,90,90,90,90,90,90,0
06/07/16,90,90,90,90,90,90,90,90,90,0
06/08/16,90,90,90,90,90,90,90,90,90,0
06/09/16,90,90,90,90,90,90,90,90,90,0
06/10/16,90,90,90,90,90,90,90,90,90,0
06/11/16,90,90,90,90,90,90,90,90,90,0
06/12/16,90,90,90,90,90,90,90,90,90,0
06/13/16,90,90,90,90,90,90,90,90,90,0
06/14/16,90,90,90,90,90,90,90,90,90,0
06/15/16,90,90,90,90,90,90,90,90,90,0
06/16/16,90,90,90,90,90,90,90,90,90,0
06/17/16,90,90,90,90,90,90,90,90,90,0
06/18/16,90,90,90,90,90,90,90,90,90,0
06/19/16,90,90,90,90,90,90,90,90,90,0
06/20/16,90,90,90,90,90,90,90,90,90,0
06/21/16,90,90,90,90,90,90,90,90,90,0
06/22/16,90,90,90,90,90,90,90,90,90,0
06/23/16,90,90,90,90,90,90,90,90,90,0
06/24/16,90,90,90,90,90,90,90,90,90,0
06/25/16,90,90,90,90,90,90,90,90,90,0
06/26/16,90,90,90,90,90,90,90,90,90,0
06/27/16,90,90,90,90,90,90,90,90,90,0
06/28/16,90,90,90,90,90,90,90,90,90,0
06/29/16,90,90,90,90,90,90,90,90,90,0
06/30/16,90,90,90,90,90,90,90,90,90,0
